"Protein","Outcome","HR","conf_low","conf_high","p_value","p_fdr","n_event","n_total","group","Trend","p_fdr_trend"
"BCAN","AD",0.677134099,0.406178884,1.128839056,0.134861193,0.468486131,121,6927,"Pre-DM","Fluctuating Decreasing",0.1958697216
"BCAN","Dementia",0.804403292,0.553024766,1.170046435,0.254910194,0.623113808,225,6921,"Pre-DM","Fluctuating Decreasing",0.4460928395
"BCAN","VaD",0.643525562,0.309741197,1.337003772,0.2374055,0.668779721,59,6928,"Pre-DM","Fluctuating Decreasing",0.553946166666667
"BCAN","ADD",0.745289969,0.418235499,1.328096585,0.318597797,0.723323431,91,6929,"Pre-DM","Fluctuating Decreasing",0.4460369158
"BCAN","UD",0.839014468,0.523089539,1.345745279,0.466529086,0.786025826,140,6924,"Pre-DM","Fluctuating Decreasing",0.6531407204
"BCAN","DoD",1.195816783,0.467921873,3.056018235,0.708736342,0.917188208,34,6928,"Pre-DM","Fluctuating Decreasing",0.976191788
"BCAN","Dementia",0.754184452277054,0.533784058457678,1.0655885634725,0.109657149188091,0.314730616656619,197,3089,"T2D","Fluctuating Decreasing",0.191900011079159
"BCAN","UD",0.651280466494699,0.42632472500906,0.994937007297755,0.047318096177497,0.346999371968312,128,3090,"T2D","Fluctuating Decreasing",0.110408891080826
"BCAN","DoD",0.692343953437716,0.276874201872751,1.73125609616047,0.431713930768491,0.759816518152545,24,3095,"T2D","Fluctuating Decreasing",0.755499378844859
"BCAN","VaD",1.15658355415825,0.585029172447073,2.2865278874112,0.67570782729505,0.76233703592262,54,3095,"T2D","Fluctuating Decreasing",0.67570782729505
"BCAN","ADD",0.838394429671334,0.480531388344306,1.4627665054843,0.534800582160271,0.906658961185409,75,3094,"T2D","Fluctuating Decreasing",0.778902471200192
"BCAN","AD",0.892667468801638,0.544470243621949,1.46354225816979,0.652628520995235,0.957188497459678,102,3094,"T2D","Fluctuating Decreasing",0.761399941161108
"C1QTNF1","VaD",2.170467915,1.261750896,3.733645829,0.005109643,0.074941434,59,6928,"Pre-DM","Gradually Increasing",0.040877144
"C1QTNF1","Dementia",1.416140665,1.0481566,1.913315607,0.023431848,0.343667104,225,6921,"Pre-DM","Gradually Increasing",0.187454784
"C1QTNF1","AD",1.365225894,0.912049596,2.043574987,0.130367443,0.468486131,121,6927,"Pre-DM","Gradually Increasing",0.264817386
"C1QTNF1","UD",1.358894577,0.920890794,2.005226334,0.122390847,0.665255015,140,6924,"Pre-DM","Gradually Increasing",0.326375592
"C1QTNF1","DoD",1.335176786,0.615583188,2.895948243,0.464322886,0.730417236,34,6928,"Pre-DM","Gradually Increasing",0.722952898666667
"C1QTNF1","ADD",0.990932424,0.612634144,1.60282785,0.970384381,0.970384381,91,6929,"Pre-DM","Gradually Increasing",0.970384381
"C1QTNF1","ADD",0.628141750293553,0.377215793955811,1.04598498998181,0.0739106594032919,0.570122567285744,75,3094,"T2D","Gradually Increasing",0.591285275226335
"C1QTNF1","AD",0.775570774688274,0.507852384340475,1.18441902627222,0.239398268502988,0.752394558152246,102,3094,"T2D","Gradually Increasing",0.957593074011952
"C1QTNF1","VaD",1.02110454484479,0.594259092367364,1.75454528991563,0.93972329641381,0.93972329641381,54,3095,"T2D","Gradually Increasing",0.93972329641381
"C1QTNF1","Dementia",0.978614165800612,0.731266429224497,1.30962621451288,0.884377523373273,0.956852244597268,197,3089,"T2D","Gradually Increasing",0.961185625532971
